gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeProbability,drawProbability,awayProbability,homeGoalsHalfTime,awayGoalsHalfTime,B365H,B365D,B365A
229,1,2015,2015-12-06 20:00:00,86,87,2,0,0.1975,0.3505,0.452,0,0,5.75,4.33,1.62
230,1,2015,2015-12-08 00:00:00,72,78,1,1,0.5012,0.2789,0.2199,0,0,2.1,3.6,3.75
231,1,2015,2015-12-12 16:45:00,79,72,1,1,0.164,0.2323,0.6037,0,1,2.9,3.5,2.55
232,1,2015,2015-12-12 19:00:00,88,84,2,1,0.4645,0.2816,0.2539,1,0,1.3,6.0,11.0
233,1,2015,2015-12-12 19:00:00,77,90,0,1,0.1156,0.2107,0.6737,0,1,2.9,3.3,2.63
234,1,2015,2015-12-12 19:00:00,78,74,1,0,0.4797,0.2971,0.2232,1,0,2.6,3.3,3.0
235,1,2015,2015-12-12 19:00:00,81,85,0,0,0.1888,0.2353,0.5759,0,0,2.63,3.3,2.9
236,1,2015,2015-12-12 21:30:00,73,89,2,1,0.1405,0.2388,0.6207,1,1,3.4,3.4,2.3
237,1,2015,2015-12-13 17:30:00,71,83,0,2,0.1716,0.2615,0.5669,0,2,6.5,4.2,1.57
238,1,2015,2015-12-13 20:00:00,87,76,2,2,0.6992,0.2027,0.0981,1,1,1.4,4.75,10.0
239,1,2015,2015-12-13 20:00:00,82,86,1,2,0.1837,0.2912,0.5251,1,0,1.36,5.5,9.0
240,1,2015,2015-12-15 00:00:00,75,80,2,1,0.0526,0.1514,0.796,1,0,3.2,3.5,2.35
241,1,2015,2015-12-19 19:00:00,76,73,1,2,0.0774,0.2036,0.719,0,0,2.55,3.3,3.0
242,1,2015,2015-12-19 19:00:00,74,82,0,2,0.178,0.2709,0.5511,0,2,2.7,3.4,2.8
243,1,2015,2015-12-19 19:00:00,85,78,1,2,0.4761,0.2468,0.2771,0,1,2.5,3.2,3.2
244,1,2015,2015-12-19 19:00:00,80,77,3,1,0.8122,0.1333,0.0545,2,0,1.33,5.25,12.0
245,1,2015,2015-12-19 19:00:00,72,75,2,3,0.1942,0.2849,0.5209,1,1,2.1,3.75,3.6
246,1,2015,2015-12-19 19:00:00,89,79,1,2,0.4673,0.3409,0.1918,0,1,1.45,4.5,8.5
247,1,2015,2015-12-19 21:30:00,86,71,1,1,0.6335,0.2673,0.0992,1,0,2.05,3.5,4.0
248,1,2015,2015-12-20 17:30:00,90,87,3,0,0.8673,0.104,0.0287,2,0,4.2,3.6,1.95
249,1,2015,2015-12-20 20:00:00,84,81,0,0,0.4913,0.358,0.1507,0,0,2.1,3.4,3.9
250,1,2015,2015-12-22 00:00:00,83,88,2,1,0.5799,0.261,0.1591,2,0,2.45,3.5,3.0
251,1,2015,2015-12-26 16:45:00,85,89,2,0,0.3096,0.311,0.3794,2,0,3.25,3.2,2.3
252,1,2015,2015-12-26 19:00:00,84,76,1,0,0.6207,0.2896,0.0897,1,0,1.91,3.4,4.5
253,1,2015,2015-12-26 19:00:00,82,79,3,0,0.8655,0.1065,0.028,2,0,1.4,4.75,8.0
254,1,2015,2015-12-26 19:00:00,71,81,1,1,0.5853,0.2727,0.142,0,1,2.63,3.25,2.75
255,1,2015,2015-12-26 19:00:00,73,78,0,0,0.4664,0.3836,0.15,0,0,2.4,3.3,3.0
256,1,2015,2015-12-26 19:00:00,80,90,2,2,0.4647,0.2681,0.2672,1,1,1.44,4.5,7.5
257,1,2015,2015-12-26 19:00:00,87,75,1,0,0.6019,0.2772,0.1209,0,0,1.91,3.8,3.8
258,1,2015,2015-12-26 19:00:00,88,77,4,1,0.898,0.076,0.026,3,0,1.2,7.0,13.0
259,1,2015,2015-12-26 21:30:00,86,72,0,1,0.281,0.2713,0.4477,0,0,3.2,3.5,2.2
260,1,2015,2015-12-26 23:45:00,74,83,4,0,0.7896,0.1524,0.058,1,0,3.6,3.5,2.05
261,1,2015,2015-12-28 19:00:00,76,86,1,0,0.7878,0.1548,0.0574,0,0,2.2,3.25,3.75
262,1,2015,2015-12-28 19:00:00,90,82,1,2,0.5728,0.3087,0.1185,1,1,3.75,3.5,2.1
263,1,2015,2015-12-28 19:00:00,79,71,2,0,0.6386,0.2924,0.069,1,0,2.05,3.6,3.8
264,1,2015,2015-12-28 19:00:00,78,84,0,0,0.5035,0.4244,0.0721,0,0,2.1,3.4,4.0
265,1,2015,2015-12-28 19:00:00,72,85,3,4,0.5398,0.2561,0.2041,1,2,1.95,3.6,4.2
266,1,2015,2015-12-28 21:30:00,83,73,2,0,0.9481,0.0435,0.0084,1,0,1.44,4.75,8.0
267,1,2015,2015-12-28 21:30:00,89,80,0,0,0.4964,0.3069,0.1967,0,0,2.6,3.3,3.0
268,1,2015,2015-12-28 21:30:00,81,74,2,1,0.4794,0.2713,0.2493,0,1,3.6,3.4,2.2
269,1,2015,2015-12-29 23:45:00,75,88,0,0,0.1529,0.2457,0.6014,0,0,4.33,4.0,1.85
270,1,2015,2015-12-30 23:45:00,77,87,0,1,0.0688,0.1947,0.7365,0,0,5.5,3.9,1.7
271,1,2015,2016-01-02 16:45:00,81,87,2,0,0.4218,0.2629,0.3153,1,0,4.0,3.5,2.05
272,1,2015,2016-01-02 19:00:00,76,85,2,1,0.5918,0.2634,0.1448,0,0,2.8,3.2,2.8
273,1,2015,2016-01-02 19:00:00,83,86,1,0,0.5807,0.2277,0.1916,0,0,1.29,6.5,11.0
274,1,2015,2016-01-02 19:00:00,75,73,0,0,0.6484,0.2224,0.1292,0,0,1.91,3.75,4.33
275,1,2015,2016-01-02 19:00:00,89,84,2,1,0.6836,0.2232,0.0932,0,0,1.55,4.2,7.0
276,1,2015,2016-01-02 19:00:00,79,74,1,0,0.5291,0.2772,0.1937,0,0,3.2,3.4,2.4
277,1,2015,2016-01-02 19:00:00,77,71,3,1,0.4432,0.4303,0.1265,1,0,2.5,3.25,3.2
278,1,2015,2016-01-02 21:30:00,90,88,1,2,0.4296,0.3301,0.2403,0,0,5.0,4.0,1.75
279,1,2015,2016-01-03 17:30:00,78,80,0,3,0.0296,0.1141,0.8563,0,1,3.8,3.5,2.1
280,1,2015,2016-01-03 20:00:00,72,82,1,1,0.3064,0.3709,0.3227,1,1,2.8,3.5,2.63
281,1,2015,2016-01-12 23:45:00,86,89,3,3,0.2452,0.2462,0.5086,1,2,5.0,3.7,1.8
282,1,2015,2016-01-12 23:45:00,71,78,1,0,0.2757,0.4363,0.288,0,0,3.2,3.25,2.45
283,1,2015,2016-01-12 23:45:00,73,81,1,3,0.1899,0.3365,0.4736,1,0,2.0,3.6,4.0
284,1,2015,2016-01-13 23:45:00,74,90,2,0,0.8237,0.1591,0.0172,1,0,1.95,3.5,4.33
285,1,2015,2016-01-13 23:45:00,85,79,3,1,0.6995,0.2532,0.0473,0,0,2.05,3.3,4.2
286,1,2015,2016-01-13 23:45:00,84,77,2,4,0.0471,0.1615,0.7914,2,1,1.8,3.6,5.25
287,1,2015,2016-01-13 23:45:00,80,76,2,2,0.5706,0.2724,0.157,1,1,1.44,4.5,9.0
288,1,2015,2016-01-13 23:45:00,88,72,0,0,0.6669,0.2516,0.0815,0,0,1.53,4.75,6.0
289,1,2015,2016-01-14 00:00:00,87,83,3,3,0.1365,0.1982,0.6653,2,2,2.88,3.4,2.6
290,1,2015,2016-01-14 00:00:00,82,75,0,1,0.5268,0.3044,0.1688,0,0,1.75,3.8,5.25
291,1,2015,2016-01-16 16:45:00,82,77,4,1,0.7545,0.1805,0.065,1,1,1.36,5.25,9.5
292,1,2015,2016-01-16 19:00:00,88,78,4,0,0.6974,0.2173,0.0853,2,0,1.4,5.25,8.5
293,1,2015,2016-01-16 19:00:00,86,81,2,1,0.566,0.2425,0.1915,2,0,2.5,3.4,3.0
294,1,2015,2016-01-16 19:00:00,74,76,3,0,0.7089,0.2237,0.0674,2,0,1.73,3.75,5.5
295,1,2015,2016-01-16 19:00:00,80,72,3,3,0.6084,0.2338,0.1578,0,0,1.83,3.75,4.75
296,1,2015,2016-01-16 19:00:00,73,79,3,0,0.8615,0.1054,0.0331,1,0,1.91,3.6,4.5
297,1,2015,2016-01-16 21:30:00,71,75,1,1,0.051,0.1399,0.8091,0,1,3.6,3.4,2.2
298,1,2015,2016-01-17 18:05:00,87,89,0,1,0.379,0.3618,0.2592,0,0,2.3,3.25,3.5
299,1,2015,2016-01-17 20:15:00,85,83,0,0,0.2667,0.4343,0.299,0,0,4.33,3.6,1.95
300,1,2015,2016-01-19 00:00:00,84,90,1,0,0.2495,0.4633,0.2872,1,0,2.38,3.25,3.4
301,1,2015,2016-01-23 16:45:00,79,87,4,5,0.2233,0.3216,0.4551,2,1,4.33,3.5,1.95
302,1,2015,2016-01-23 19:00:00,78,82,1,3,0.1771,0.2463,0.5766,1,0,3.6,3.5,2.15
303,1,2015,2016-01-23 19:00:00,89,74,0,1,0.0676,0.3885,0.5439,0,0,1.91,3.5,4.75
304,1,2015,2016-01-23 19:00:00,75,85,3,0,0.8687,0.1115,0.0198,1,0,2.1,3.5,3.8
305,1,2015,2016-01-23 19:00:00,76,71,0,0,0.1251,0.5024,0.3725,0,0,2.1,3.3,4.0
306,1,2015,2016-01-23 19:00:00,77,73,1,1,0.1541,0.2939,0.552,1,1,3.0,3.4,2.5
307,1,2015,2016-01-23 19:00:00,90,86,2,1,0.6936,0.1839,0.1225,0,0,2.05,3.5,4.0
308,1,2015,2016-01-23 21:30:00,81,88,2,2,0.1649,0.2729,0.5622,1,1,5.0,4.0,1.73
309,1,2015,2016-01-24 17:30:00,72,84,1,2,0.5925,0.2715,0.136,1,2,1.73,3.8,5.5
310,1,2015,2016-01-24 20:00:00,83,80,0,1,0.2445,0.2932,0.4623,0,1,2.1,3.5,3.9
